   #  Z_k1  A_k1  Z_k3  A_k3        Z_k5  A_k5  Z_k7  A_k7    flux [dY/dt]    energy [erg/(g*s)]    timescale reac [s]
    1    1    1    0    0            0    0    1    2         1.00000E-99         1.00000E-99         1.00000E+90
    2    1    2    1    1            0    0    2    3         1.00000E-99         1.00000E-99         1.00000E+90
    3    2    3    0    0            1    1    2    4         1.00000E-99         1.00000E-99         1.00000E+90
    4    2    4    2    3            0    0    4    7         1.00000E-99         1.00000E-99         1.00000E+90
    5    4    7    0    0            0    0    3    7         8.01529E-38         1.27168E-19         1.00103E+11
    6    3    7    1    1            0    0    2    4         1.00000E-99         1.00000E-99         1.00000E+90
    7    4    7    1    1            0    0    5    8         1.00000E-99         1.00000E-99         1.00000E+90
    8    5    8    0    0            0    0    2    4         1.00000E-99         1.00000E-99         1.00000E+90
    9    5    8    0    0            1    1    4    7         1.00000E-99         1.00000E-99         1.00000E+90
   10    4    7    2    4            0    0    6   11         1.00000E-99         1.00000E-99         1.00000E+90
   11    3    7    2    4            0    0    5   11         1.00000E-99         1.00000E-99         1.00000E+90
   12    5   11    2    4            0    1    7   14         1.00000E-99         1.00000E-99         1.00000E+90
   13    5   11    1    1            0    0    2    4         1.00000E-99         1.00000E-99         1.00000E+90
   14    6   12    1    1            0    0    7   13         1.00000E-99         1.00000E-99         1.00000E+90
   15    6   13    1    1            0    0    7   14         1.00000E-99         1.00000E-99         1.00000E+90
   16    7   13    1    1            0    0    8   14         1.00000E-99         1.00000E-99         1.00000E+90
   17    7   14    1    1            0    0    8   15         1.00000E-99         1.00000E-99         1.00000E+90
   18    7   15    1    1            2    4    6   12         1.00000E-99         1.00000E-99         1.00000E+90
   19    7   15    1    1            0    0    8   16         1.00000E-99         1.00000E-99         1.00000E+90
   20    8   16    1    1            0    0    9   17         1.00000E-99         1.00000E-99         1.00000E+90
   21    8   17    1    1            2    4    7   14         1.00000E-99         1.00000E-99         1.00000E+90
   22    8   17    1    1            0    0    9   18         1.00000E-99         1.00000E-99         1.00000E+90
   23    8   18    1    1            2    4    7   15         1.00000E-99         1.00000E-99         1.00000E+90
   24    8   18    1    1            0    0    9   19         1.00000E-99         1.00000E-99         1.00000E+90
   25    9   19    1    1            2    4    8   16         1.00000E-99         1.00000E-99         1.00000E+90
